Indicador,Ano,Valor,Unidade
Menos de 1 ano de idade,2010,4222,pessoas
1 a 4 anos de idade,2010,16662,pessoas
5 a 9 anos,2010,21285,pessoas
10 a 14 anos de idade,2010,25174,pessoas
15 a 19 anos,2010,25753,pessoas
20 a 24 anos,2010,27886,pessoas
25 a 29 anos,2010,30564,pessoas
30 a 34 anos,2010,28480,pessoas
35 a 39 anos,2010,24909,pessoas
40 a 44 anos,2010,23432,pessoas
45 a 49 anos,2010,22757,pessoas
50 a 54 anos,2010,19811,pessoas
55 a 59 anos,2010,16254,pessoas
60 a 64 anos,2010,11874,pessoas
65 a 69 anos,2010,7786,pessoas
70 a 74 anos,2010,5631,pessoas
75 a 79 anos,2010,3991,pessoas
80 a 84 anos,2010,2650,pessoas
85 a 89 anos,2010,1452,pessoas
90 a 94 anos,2010,549,pessoas
95 a 99 anos,2010,147,pessoas
100 anos ou mais,2010,28,pessoas
